"","AJM","ATI","CAM","CHO","HGM","IZT","MER","MPA","SAG","SFE","TAH","TLA","TLI","VIF","XAL"
"255",22,24,40,36,41,22,61,21,37,25,40,47,38,59,61
"256",22,27,49,12,25,21,43,18,46,24,40,60,47,27,63
"257",25,32,49,1,29,19,39,28,70,26,40,51,2,26,50
"258",28,30,49,5,33,26,51,28,59,37,40,56,18,11,73
"259",45,23,49,12,31,29,52,33,60,51,23,40,25,19,90
"260",37,20,49,38,44,38,42,41,28,44,40,56,17,18,61
"261",33,28,48,29,47,39,61,42,32,35,30,48,35,10,58
"262",47,29,68,54,52,52,78,50,65,36,35,37,21,66,73
"263",34,31,40,27,37,44,29,48,55,43,79,45,39,59,45
"264",36,46,50,37,42,26,64,33,46,44,25,58,57,21,58
"265",30,34,44,33,40,37,55,27,49,32,38,43,50,43,55
"266",29,42,40,77,39,24,60,26,70,32,35,42,57,64,72
"267",28,75,41,50,42,33,48,31,57,33,64,57,87,93,57
"268",34,34,41,45,31,34,47,40,29,39,60,44,17,33,36
"269",25,37,33,36,23,23,34,35,24,35,32,36,33,26,23
"270",25,27,37,33,28,35,44,45,24,32,21,28,24,10,26
"271",25,17,43,16,30,33,32,23,16,31,13,33,21,16,29
"272",29,16,28,23,25,29,36,25,30,33,17,29,21,23,28
"273",26,32,43,30,24,23,33,25,30,34,18,30,28,25,57
"274",28,63,46,41,22,25,31,28,39,31,24,42,21,47,46
"275",28,42,91,54,23,32,55,25,34,29,22,41,58,44,56
"276",32,28,59,48,35,29,71,24,42,44,34,67,50,30,66
"277",35,54,58,50,50,37,61,35,36,48,45,65,34,27,47
"278",40,60,55,67,39,34,34,41,29,45,50,56,54,16,43
"279",44,50,45,52,39,21,52,44,34,51,44,72,34,18,31
"280",50,59,43,42,18,22,24,50,30,53,47,80,23,37,35
"281",62,28,30,38,23,20,26,45,30,65,30,64,26,11,51
"282",52,23,38,35,29,21,38,47,43,59,24,73,45,48,40
"283",48,35,47,23,29,29,61,44,57,47,30,60,31,4,53
"284",56,38,59,42,32,46,49,46,55,60,51,131,38,21,59
"285",37,49,62,56,44,41,59,37,56,59,30,91,50,37,78
"286",41,58,60,1,46,32,78,36,71,50,5,88,65,62,73
"287",28,58,60,28,42,31,40,30,141,52,71,74,97,130,84
"288",27,37,81,417,47,73,57,30,82,35,224,41,69,51,47
"289",19,30,24,84,13,62,30,30,28,20,75,23,4,22,47
"290",11,17,22,15,22,28,30,30,21,18,17,29,22,25,30
"291",12,4,27,31,17,19,35,30,30,18,20,22,22,42,31
"292",15,10,24,44,19,16,31,30,23,18,22,24,26,51,42
"293",14,19,36,28,37,21,28,30,30,19,20,44,34,23,42
"294",21,25,51,37,25,21,35,14,38,23,15,49,29,5,40
"295",18,13,48,27,31,17,29,14,41,19,7,43,32,10,64
"296",16,14,38,27,47,26,53,9,43,16,11,35,30,39,64
"297",13,28,44,21,33,17,43,9,50,17,13,34,27,32,55
"298",15,17,56,16,36,23,52,16,62,18,28,42,38,16,66
"299",19,13,36,27,43,32,52,12,50,25,35,67,30,41,63
"300",17,23,61,41,38,41,60,14,57,37,25,49,46,55,113
"301",17,41,59,62,41,35,68,18,63,42,42,66,44,102,146
