,AJM,FAC,HGM,MER,SFE,TLI,VIF,XAL
190,11,6,18,15,9,8,5,12
191,14,6,12,17,9,9,5,11
192,14,7,13,15,12,9,6,17
193,14,11,11,14,17,9,8,16
194,11,8,13,14,10,11,6,17
195,17,11,16,15,9,9,7,15
196,11,14,22,18,11,12,6,11
197,6,9,21,23,13,10,7,11
198,6,8,17,21,10,7,7,12
199,8,8,17,17,7,7,5,12
200,9,8,18,23,10,11,8,13
201,7,9,22,19,13,23,7,12
202,6,11,20,30,12,12,5,16
203,9,19,34,39,25,17,10,29
204,15,21,31,35,34,18,14,34
205,18,15,31,35,23,16,13,33
206,16,11,30,34,14,11,10,29
207,14,15,22,34,15,12,9,21
208,14,19,24,32,13,11,8,25
209,13,18,22,30,11,8,4,18
210,13,9,14,21,10,5,3,11
211,11,7,9,11,7,6,4,8
212,10,11,7,12,6,6,5,10
213,11,14,13,12,8,6,3,13
214,13,7,18,16,10,8,3,13
215,13,9,12,19,10,8,5,13
216,12,13,16,17,16,10,9,17
217,18,16,20,20,23,8,9,15
218,14,16,17,21,12,10,13,18
219,10,12,20,22,12,14,10,21
220,10,6,15,20,15,20,8,11
221,8,9,14,20,14,20,10,14
222,9,9,22,18,13,13,13,9
223,9,8,23,14,10,11,9,10
224,9,22,20,27,9,11,6,14
225,8,23,19,21,8,12,5,22
226,8,14,19,23,14,12,9,22
227,9,18,28,31,20,22,21,26
228,9,24,27,31,23,26,21,29
229,17,25,31,32,17,24,14,30
230,23,21,30,33,13,15,15,21
231,22,19,29,28,13,16,11,20
232,20,16,26,30,12,16,9,27
233,16,10,19,21,8,10,5,22
234,12,7,13,13,7,8,3,14
235,10,10,13,14,8,5,3,10
236,12,6,16,19,9,7,5,13
237,11,9,14,16,14,15,7,15
238,6,6,14,15,12,18,7,15
239,6,11,10,13,11,18,10,21
240,11,20,14,16,17,18,10,19
241,17,9,14,13,13,19,12,20
242,14,10,16,20,9,22,13,20
243,9,7,12,16,8,20,16,13
244,8,22,11,12,7,16,10,16
245,16,22,29,32,19,23,16,29
246,16,22,29,32,19,23,16,29
247,16,22,29,32,19,23,16,29
248,16,22,29,32,19,23,16,29
249,4,14,21,26,9,19,17,26
250,16,16,32,35,12,27,25,28
251,21,24,35,33,34,30,27,35
252,22,28,39,37,34,31,29,39
253,19,35,38,44,29,33,35,43
254,12,30,35,37,17,36,39,43
255,6,20,25,26,9,35,34,43
256,11,22,22,21,12,29,25,34
257,13,22,23,23,14,21,16,32
258,14,14,21,24,21,13,10,25
259,14,13,19,18,21,10,5,21
260,11,24,28,24,17,12,7,21
261,15,33,23,30,14,14,11,25
262,18,43,33,32,21,18,15,33
263,14,39,32,46,16,29,18,33
264,10,37,35,51,25,30,24,42
265,7,41,34,55,12,29,16,58
266,15,38,53,57,19,16,15,28
267,26,22,16,18,24,10,9,18
268,16,15,15,18,19,9,7,21
269,16,11,21,25,17,13,7,15
270,16,9,24,30,21,15,8,13
271,17,8,16,27,17,21,13,21
272,11,11,12,19,19,25,16,41
273,11,17,19,26,14,23,21,45
274,14,26,39,47,22,38,29,45
275,18,33,47,52,42,36,21,48
276,22,39,50,50,44,29,23,36
277,33,33,36,36,36,36,22,34
278,32,35,33,40,32,32,15,36
279,30,39,19,24,19,19,12,27
280,31,22,16,14,19,10,6,19
281,28,22,15,18,19,8,6,17
282,21,23,18,15,19,20,6,18
283,18,22,20,21,19,24,7,24
284,14,29,21,18,18,22,14,29
285,8,25,17,17,14,24,19,32
286,5,18,19,16,18,21,14,27
287,11,21,24,30,16,25,10,14
288,14,48,23,34,19,18,23,25
289,9,29,34,32,19,35,39,42
290,16,20,43,55,20,41,50,53
291,15,28,35,50,20,36,48,57
292,17,37,53,51,17,34,31,40
293,22,33,56,44,31,34,19,54
294,15,30,41,53,23,31,20,49
295,9,28,49,51,15,43,27,51
296,5,22,45,47,19,42,37,51
297,10,19,42,44,19,36,31,43
298,23,21,44,45,32,33,32,43
299,16,30,38,45,39,37,29,47
300,14,36,41,42,50,40,30,46
301,25,40,50,56,30,41,32,46
